ISO;Score 2025;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Zone;Country_FR;Country_EN;Country_ES;Country_PT;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
BLZ;6832;47;5315;64;4825;61;6399;77;8136;21;9483;6;Amériques;Bélize;Belize;Belice;Belize ;????;????;2025;54;7;6685;1,47
CSS;6808;48;5527;58;4796;65;6879;58;7598;41;924;22;Amériques;OÉCO;OECS;OECO;OECO;????????;????? ??????? ????;2025;68;20;6283;5,25
ITA;6801;49;5869;49;5032;56;744;44;6722;63;8941;44;UE Balkans;Italie;Italy;Italia;Itália ;???????;???????;2025;46;-3;698;-1,79
MRT;6752;50;5775;51;4919;59;7377;45;6779;60;8908;46;Afrique;Mauritanie;Mauritania;Mauritania;Mauritânia ;?????????;????????;2025;33;-17;742;-6,68
MUS;6731;51;5135;70;4955;58;6835;62;7958;29;8771;54;Afrique;Maurice;Mauritius;Mauricio;Maurício ;????????;?????;2025;57;6;6555;1,76
GHA;6713;52;6444;36;4493;73;754;41;7197;52;7893;86;Afrique;Ghana;Ghana;Ghana;Gana ;????;???;2025;50;-2;6771;-0,58
PAN;6675;53;5414;62;5507;42;6315;82;71364;53;90;41;Amériques;Panama;Panama;Panamá;Panamá ;????;??????;2025;83;30;5855;8,2
LBR;6661;54;5643;56;4148;91;7508;42;7961;28;8046;81;Afrique;Libéria;Liberia;Liberia;Libéria ;???????;??????;2025;60;6;6513;1,48
ROU;6642;55;5744;53;4517;72;7079;50;71358;54;8734;57;UE Balkans;Roumanie;Romania;Rumania;Romênia ;???????;??????;2025;49;-6;6845;-2,03
SLE;6636;56;5648;55;4603;70;6896;56;7515;45;8517;71;Afrique;Sierra Leone;Sierra Leone;Sierra Leona;Serra Leoa ;????????;?????????;2025;64;8;6427;2,09
USA;65487;57;6238;41;5565;40;6881;57;6256;82;7803;91;Amériques;États-Unis;United States;Estados Unidos;Estados Unidos ;???????? ???????;?????? ????? ??????;2025;55;-2;6659;-1,1
GMB;65486;58;591;47;4647;69;6295;83;728;51;8612;62;Afrique;Gambie;Gambia;Gambia;Gâmbia ;??????;??????;2025;58;0;6553;-0,04
URY;6518;59;4864;81;4252;82;7672;37;6715;65;9089;33;Amériques;Uruguay;Uruguay;Uruguay;Uruguai ;????????;???????;2025;51;-8;677;-2,52
HRV;642;60;5415;61;4408;75;7352;46;6022;90;8904;47;UE Balkans;Croatie;Croatia;Croacia;Croácia ;???????;??????;2025;48;-12;6879;-4,59
QAT;5825;79;4973;77;5082;52;4184;144;5799;97;9087;34;MENA;Qatar;Qatar;Catar;Catar ;???;???;2025;84;5;5848;-0,23
UKR;6393;62;6443;37;5877;32;7585;39;7377;50;4682;126;EEAC;Ukraine;Ukraine;Ucrania;Ucrânia ;????????;???????;2025;61;-1;65;-1,07
BRA;638;63;6152;43;4729;66;6681;71;613;86;8211;78;Amériques;Brésil;Brazil;Brasil;Brasil ;????????;?????;2025;82;19;5859;5,21
CIV;6369;64;5747;52;4999;57;707;51;7029;57;7002;103;Afrique;Côte d'Ivoire;Côte d'Ivoire;Costa de Marfil;Costa do Marfim ;???? ?????;???? ???;2025;53;-11;6689;-3,2
AND;633;65;5613;57;391;105;6739;68;6148;84;9241;21;UE Balkans;Andorre;Andorra;Andorra;Andorra ;??????;?????;2025;72;7;6144;1,86
JPN;6314;66;5521;59;5345;45;6719;69;5444;112;8543;68;Asie-Pacifique;Japon;Japan;Japón;Japão ;???????;????;2025;70;4;6212;1,02
MLT;6296;67;4429;96;5125;51;6506;74;6502;72;8918;45;UE Balkans;Malte;Malta;Malta;Malta ;?????;????;2025;73;6;6096;2
HUN;6282;68;3714;124;4807;64;6796;64;7488;46;8605;63;UE Balkans;Hongrie;Hungary;Hungría;Hungria ;?????;????????;2025;67;-1;6298;-0,16
CHL;6225;69;6501;34;4194;88;641;76;5777;98;8241;77;Amériques;Chili;Chile;Chile;Chile ;?????;????;2025;52;-17;6732;-5,07
BGR;6078;70;5062;73;4026;97;6771;66;591;94;8622;61;UE Balkans;Bulgarie;Bulgaria;Bulgaria;Bulgária ;???????;?????????;2025;59;-11;6532;-4,54
COG;6058;71;5168;69;4076;95;6231;88;6244;83;8572;67;Afrique;Congo-Brazzaville;Congo-Brazzaville; Congo-Brazzaville;Congo-Brazzaville ;???????–????????;???? ????????;2025;69;-2;6257;-1,99
CAF;6015;72;5068;72;4079;94;6516;73;673;61;7682;93;Afrique;République centraf.;Central African Republic;República Centroafricana;República Centro-Africana ;??????? ??????? ??????;?????? ??????? ?????;2025;76;4;6012;0,03
GUY;6012;73;4027;111;4823;62;618;90;6597;67;8431;73;Amériques;Guyana;Guyana;Guyana;Guiana ;??????;?????;2025;77;4;601;0,02
SEN;5943;74;5346;63;4245;84;5805;99;6729;62;7593;95;Afrique;Sénégal;Senegal;Senegal;Senegal ;???????;?????;2025;94;20;5544;3,99
COM;5927;75;5025;75;4713;67;6207;89;6084;89;7608;94;Afrique;Comores;Comoros;Comoras;Comores ;??? ?????;?????;2025;71;-4;6147;-2,2
MWI;592;76;4708;85;4074;96;6261;84;6613;66;7945;85;Afrique;Malawi;Malawi;Malaui;Malaui ;??????;??????;2025;63;-13;6446;-5,26
CYP;5904;77;5197;65;4178;90;645;75;4867;126;883;50;UE Balkans;Chypre;Cyprus;Chipre;Chipre ;????;????;2025;65;-12;6314;-4,1
PNG;5835;78;5027;74;4232;85;5676;102;5701;101;8539;69;Asie-Pacifique;Papouasie-NG;Papua New Guinea;Papúa Nueva Guinea;Papua-Nova Guiné ;????? ????? ???????;????? ???? ??;2025;91;13;5602;2,33
OMN;4229;134;331;134;4019;98;26651;162;3162;161;7987;84;MENA;Oman;Oman;Omán;Omã ;????;????;2025;137;3;4252;-0,23
ALB;5818;80;3862;119;3169;147;6951;53;6585;68;8521;70;UE Balkans;Albanie;Albania;Albania;Albânia ;???????;??????;2025;99;19;541;4,08
BWA;5764;81;5093;71;3918;103;5405;112;6818;59;7587;96;Afrique;Botswana;Botswana;Botsuana;Botsuana ;????????;?????????;2025;79;-2;5978;-2,14
ZMB;5733;82;4494;90;425;83;6388;78;6364;77;7169;101;Afrique;Zambie;Zambia;Zambia;Zâmbia ;??????;??????;2025;95;13;5538;1,95
NER;5705;83;4971;78;4314;79;6356;80;6395;75;6491;110;Afrique;Niger;Niger;Niger;Níger ;??????;????;2025;80;-3;5971;-2,66
PRY;5684;84;4326;98;4009;100;6685;70;5524;107;7877;88;Amériques;Paraguay;Paraguay;Paraguay;Paraguai ;????????;????????;2025;115;31;5048;6,36
MNE;7283;37;6337;40;5372;44;8098;26;7554;44;9052;38;UE Balkans;Monténégro;Montenegro;Montenegro;Montenegro ;????? ??????;??????????;2025;40;3;7321;-0,38
BIH;5633;86;4574;89;3791;108;6746;67;614;85;6916;105;UE Balkans;Bosnie-Herzégovine;Bosnia-Herzegovina;Bosnia-Herzegovina;Bósnia-Herzegóvina ;??????? ???????;????? ????????;2025;81;-5;5885;-2,52
ARG;5614;87;3891;115;3549;122;7181;48;5585;105;7864;89;Amériques;Argentine;Argentina;Argentina;Argentina ;?????????;????????;2025;66;-21;6313;-6,99
MYS;5609;88;4466;92;4867;60;4626;133;6272;81;7816;90;Asie-Pacifique;Malaisie;Malaysia;Malasia;Malásia ;???????;?????;2025;107;19;5207;4,02
GRC;5537;89;4448;94;35;127;6322;81;4941;124;8473;72;UE Balkans;Grèce;Greece;Grecia;Grécia ;???????;?????;2025;88;-1;5715;-1,78
NPL;552;90;5186;68;4311;80;6863;60;6088;88;5152;120;Asie-Pacifique;Népal;Nepal;Nepal;Nepal ;?????;????;2025;74;-16;6052;-5,32
CTU;5484;91;4433;95;3494;128;5806;98;4967;122;8721;58;UE Balkans;Chypre du Nord;Northern Cyprus;Chipre del Norte;Chipre do Norte ;???? ????????;???? ?????;2025;90;-1;5672;-1,88
BEN;546;92;4069;108;35991;121;5521;108;6555;70;7558;97;Afrique;Bénin;Benin;Benín;Benim ;????;????;2025;89;-3;5673;-2,13
BOL;5409;93;3487;131;373;111;6241;87;6306;78;728;99;Amériques;Bolivie;Bolivia;Bolivia;Bolívia ;???????;?????;2025;124;31;4888;5,21
ECU;5376;94;41267;105;4393;77;5875;97;5318;114;7168;102;Amériques;Équateur;Ecuador;Ecuador;Equador ;?????????;???????;2025;110;16;513;2,46
LAO;3322;150;2533;152;3398;133;2505;164;4247;140;3928;145;Asie-Pacifique;Laos;Laos;Laos;Laos ;????;?????;2025;153;3;3376;-0,54
KWT;4406;128;3304;135;315;148;435;139;2908;167;8318;76;MENA;Koweït;Kuwait;Kuwait;Kuwait ;??????;????;2025;131;3;4466;-0,6
BRN;5347;97;4603;88;4819;63;4358;138;437;137;8585;65;Asie-Pacifique;Brunei;Brunei;Brunéi;Brunei ;??????;?????;2025;117;20;5009;3,38
SWZ;5286;98;4489;91;3492;129;4339;140;5958;91;8152;79;Afrique;Swaziland;Eswatini;Esuatini;Eswatini ;????????;???????? ;2025;85;-13;5831;-5,45
