ISO;Score;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Zone;Country_FR;Country_EN;Country_ES;Country_PT;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
DOM;7188;43;7148;39;5245;60;7653;46;7642;55;825;56;Amériques;République dominicaine;Dominican Republic;República Dominicana;República Dominicana ;جمهورية الدومينيكان;جمهوری دومینیک;2023;30;-13;769;-5,02
TON;7129;44;7031;42;5686;46;6038;95;75;63;9389;9;Asie-Pacifique;Tonga;Tonga;Tonga;Tonga ;تونغا;تونگا;2023;49;5;6974;1,55
USA;7122;45;7656;28;6976;24;7731;40;80;43;5249;120;Amériques;États-Unis;United States;Estados Unidos;Estados Unidos ;الولايات المتحدة;ایالات متحده امریکا;2023;42;-3;7274;-1,52
GMB;7106;46;6688;46;5922;39;6075;93;85;27;8346;49;Afrique;Gambie;Gambia;Gambia;Gâmbia ;غامبيا;گامبیا;2023;50;4;6925;1,81
KOR;7083;47;6351;54;5581;48;7003;60;7753;52;8726;34;Asie-Pacifique;Corée du Sud;South Korea;Corea del Sur;Coreia do Sul ;كوريا الجنوبية;کره جنوبی;2023;43;-4;7211;-1,28
SUR;7062;48;6313;55;6078;34;4717;132;9091;7;9111;19;Amériques;Surinam;Suriname;Surinam;Suriname ;سورينام;سورینام;2023;52;4;6895;1,67
ARM;7061;49;6375;53;4853;76;7382;48;8295;32;8398;46;EEAC;Arménie;Armenia;Armenia;Armênia ;أرمينيا;ارمنستان;2023;51;2;6897;1,64
SVN;7059;50;6625;47;4641;92;7964;30;7595;59;8472;40;UE Balkans;Slovénie;Slovenia;Eslovenia;Eslovênia ;سلوفينيا;اسلوانی;2023;54;4;6854;2,05
BLZ;7049;51;6198;62;5392;54;6811;66;7955;46;8889;27;Amériques;Bélize;Belize;Belice;Belize ;بليز;بلیز;2023;47;-4;7067;-0,18
URY;7033;52;6273;58;5508;50;7873;34;749;65;802;66;Amériques;Uruguay;Uruguay;Uruguay;Uruguai ;أوروغواي;اروگويه;2023;44;-8;7203;-1,7
ROU;6904;53;5965;68;4924;73;7186;53;8144;36;8303;51;UE Balkans;Roumanie;Romania;Rumania;Romênia ;رومانيا;رومانی;2023;56;3;6846;0,58
CIV;6883;54;6698;45;5801;43;7107;54;7633;56;7179;90;Afrique;Côte d'Ivoire;Côte d'Ivoire;Costa de Marfil;Costa do Marfim ;ساحل العاج;ساحل عاج;2023;37;-17;7446;-5,63
CYP;6862;55;6466;50;5312;56;7189;52;6498;85;8844;29;UE Balkans;Chypre;Cyprus;Chipre;Chipre ;قبرص;قبرس;2023;65;10;6597;2,65
